name,author,instruments,domain,file_urls,files
Giselle - Pas de deux (1er Acte),A. Adam (1803–1856),Piano,Public Domain,https://www.mutopiaproject.org/ftp/AdamA/giselle/giselle.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/AdamA/giselle/giselle.mid', 'path': 'GISELLE__PAS_DE_DEUX_1ER_ACTE.mid', 'checksum': 'dcb1f12009c3b7e068a21c5e15395b60', 'status': 'downloaded'}]"
Prélude,C.-V. Alkan (1813–1888),"Piano, Orgue",Creative Commons Attribution-ShareAlike 3.0,https://www.mutopiaproject.org/ftp/AlkanCV/O31/alkan-op31-1/alkan-op31-1.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/AlkanCV/O31/alkan-op31-1/alkan-op31-1.mid', 'path': 'PRLUDE.mid', 'checksum': 'b48b71c932534050d05d90b3e0e86f76', 'status': 'downloaded'}]"
Sonatine,J. André (1741–1799),Piano,Public Domain,https://www.mutopiaproject.org/ftp/AndreJ/O34/andre-sonatine/andre-sonatine.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/AndreJ/O34/andre-sonatine/andre-sonatine.mid', 'path': 'SONATINE.mid', 'checksum': '93f0ab395ce096bb6dc428b340c8f7de', 'status': 'downloaded'}]"
Vocalise № 1,F. Abt (1819–1885),"Voice, Piano",Public Domain,https://www.mutopiaproject.org/ftp/AbtF/Vocalise1/Vocalise1.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/AbtF/Vocalise1/Vocalise1.mid', 'path': 'VOCALISE__1.mid', 'checksum': '5af8fa8c7008dbe75c1fcee0515c3a52', 'status': 'downloaded'}]"
The Blue Alsatian Mountains,S. Adams (1844–1913),Voice and Piano,Public Domain,https://www.mutopiaproject.org/ftp/AdamsS/bluemtns/bluemtns.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/AdamsS/bluemtns/bluemtns.mid', 'path': 'THE_BLUE_ALSATIAN_MOUNTAINS.mid', 'checksum': 'f5712e5ceb550e6a038dd6c5e6c3c122', 'status': 'downloaded'}]"
When the Swallows Homeward Fly (Agathe),F. Abt (1819–1885),Voice and Piano,Public Domain,https://www.mutopiaproject.org/ftp/AbtF/swallows/swallows.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/AbtF/swallows/swallows.mid', 'path': 'WHEN_THE_SWALLOWS_HOMEWARD_FLY_AGATHE.mid', 'checksum': '0459962270e7f9775a3c7aaa9449c769', 'status': 'downloaded'}]"
Prélude Nr. 2,C.-V. Alkan (1813–1888),"Piano, Orgue",Creative Commons Attribution-ShareAlike 3.0,https://www.mutopiaproject.org/ftp/AlkanCV/O31/alkan-op31-2/alkan-op31-2.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/AlkanCV/O31/alkan-op31-2/alkan-op31-2.mid', 'path': 'PRLUDE_NR_2.mid', 'checksum': 'd72511e2936970d96d49d1334fe7d6b1', 'status': 'downloaded'}]"
Toccatina,C.-V. Alkan (1813–1888),Piano,Creative Commons Attribution-ShareAlike 4.0,https://www.mutopiaproject.org/ftp/AlkanCV/O75/toccatina/toccatina.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/AlkanCV/O75/toccatina/toccatina.mid', 'path': 'TOCCATINA.mid', 'checksum': '721d7b93e8c807f90d8b573177f032c9', 'status': 'downloaded'}]"
Les Graces,nymous,Piano,Public Domain,https://www.mutopiaproject.org/ftp/Anonymous/lesgraces/lesgraces.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/Anonymous/lesgraces/lesgraces.mid', 'path': 'LES_GRACES.mid', 'checksum': '709214247897f4861820a3129419e3ac', 'status': 'downloaded'}]"
Rondo in E-flat Major,C. P. E. Bach (1714–1788),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachCPE/cpe-bach-rondo/cpe-bach-rondo.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachCPE/cpe-bach-rondo/cpe-bach-rondo.mid', 'path': 'RONDO_IN_EFLAT_MAJOR.mid', 'checksum': '304ae66ba1c05ef5e684f1e1aec863b0', 'status': 'downloaded'}]"
"Alice, Where Art Thou?",J. Ascher (1829–1869),Voice and Piano,Public Domain,https://www.mutopiaproject.org/ftp/AscherJ/alice/alice.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/AscherJ/alice/alice.mid', 'path': 'ALICE_WHERE_ART_THOU.mid', 'checksum': '9eaa120008d460cd7ac5d4eb62332072', 'status': 'downloaded'}]"
"Ach, was soll ich Sünder machen",J. S. Bach (1685–1750),"Harpsichord, Piano",Creative Commons Attribution-ShareAlike 4.0,https://www.mutopiaproject.org/ftp/BachJS/BWV259/bwv-259/bwv-259.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV259/bwv-259/bwv-259.mid', 'path': 'ACH_WAS_SOLL_ICH_SNDER_MACHEN.mid', 'checksum': '0b5546daf7f1f4ee0680751708e3bcd4', 'status': 'downloaded'}]"
Aus meines Herzens Grunde (Chorale 1),J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV269/bwv_269/bwv_269.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV269/bwv_269/bwv_269.mid', 'path': 'AUS_MEINES_HERZENS_GRUNDE_CHORALE_1.mid', 'checksum': '0e10c74b3783fb84c2c727a7c6afc238', 'status': 'downloaded'}]"
"Alice, Where Art Thou?",J. Ascher (1829–1869),Piano,Public Domain,https://www.mutopiaproject.org/ftp/AscherJ/biga/biga.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/AscherJ/biga/biga.mid', 'path': 'ALICE_WHERE_ART_THOU.mid', 'checksum': 'ef776089aef9314911cf7551cbb418c4', 'status': 'downloaded'}]"
La Native,nymous,Piano,Public Domain,https://www.mutopiaproject.org/ftp/Anonymous/lanative/lanative.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/Anonymous/lanative/lanative.mid', 'path': 'LA_NATIVE.mid', 'checksum': '5ada163f08e758dd3cfe3c53591a7baa', 'status': 'downloaded'}]"
"Ermuntre dich, mein schwacher Geist",J. S. Bach (1685–1750),Piano,Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV454/bwv_454/bwv_454.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV454/bwv_454/bwv_454.mid', 'path': 'ERMUNTRE_DICH_MEIN_SCHWACHER_GEIST.mid', 'checksum': 'be829547236619bbff671bdbfdc7ab40', 'status': 'downloaded'}]"
"Ich dank dir, lieber Herre",J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV347/bwv347/bwv347.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV347/bwv347/bwv347.mid', 'path': 'ICH_DANK_DIR_LIEBER_HERRE.mid', 'checksum': '323827bde6ccc0ddca8b3739693e94d9', 'status': 'downloaded'}]"
Rumores de la Caleta,I. M. F. Albéniz (1860–1909),Piano,Public Domain,https://www.mutopiaproject.org/ftp/AlbenizIMF/O71/Rumores_de_la-caleta/Rumores_de_la-caleta.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/AlbenizIMF/O71/Rumores_de_la-caleta/Rumores_de_la-caleta.mid', 'path': 'RUMORES_DE_LA_CALETA.mid', 'checksum': '5172ce1a911e866807370918c8693999', 'status': 'downloaded'}]"
Minuit Chrétiens,A. Adam (1803–1856),Voice and Piano,Public Domain,https://www.mutopiaproject.org/ftp/AdamA/minuit_chretiens/minuit_chretiens.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/AdamA/minuit_chretiens/minuit_chretiens.mid', 'path': 'MINUIT_CHRTIENS.mid', 'checksum': 'b10215f7bbb6e39ebaf8617d5948da6e', 'status': 'downloaded'}]"
"Gott, wie gross ist deine Güte",J. S. Bach (1685–1750),Piano,Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV462/bwv_462/bwv_462.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV462/bwv_462/bwv_462.mid', 'path': 'GOTT_WIE_GROSS_IST_DEINE_GTE.mid', 'checksum': '7067993231096133889b85b35abfa577', 'status': 'downloaded'}]"
"Chorale setting ""Gib dich zufrieden und sei stille"" in F major",J. S. Bach (1685–1750),Piano,Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV510/BWV-510/BWV-510.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV510/BWV-510/BWV-510.mid', 'path': 'CHORALE_SETTING_GIB_DICH_ZUFRIEDEN_UND_SEI_STILLE_IN_F_MAJOR.mid', 'checksum': '43c3b3b52adb88d119125ef5f6bb20c1', 'status': 'downloaded'}]"
"Chorale setting ""Gib dich zufrieden und sei stille"" in D minor",J. S. Bach (1685–1750),Piano,Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV511/BWV-511/BWV-511.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV511/BWV-511/BWV-511.mid', 'path': 'CHORALE_SETTING_GIB_DICH_ZUFRIEDEN_UND_SEI_STILLE_IN_D_MINOR.mid', 'checksum': '88815bb7465d857778e04b34d668e96d', 'status': 'downloaded'}]"
Aria,J. S. Bach (1685–1750),"Harpsichord, Piano, Clavichord",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV515/anna-magdalena-20a/anna-magdalena-20a.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV515/anna-magdalena-20a/anna-magdalena-20a.mid', 'path': 'ARIA.mid', 'checksum': '2a3907cd04ba379989d9ba98b52fa473', 'status': 'downloaded'}]"
